model,video,feature_path,label_path,frames,frame_acc,edit,f1_10,f1_25,f1_50
asformer,20251208_100735.npy,../data/features_enhanced\02spravne\20251208_100735.npy,../data/labels\02spravne\20251208_100735.txt,442,39.366515837104075,12.5,21.27659574468085,12.76595744680851,8.51063829787234
asformer,IMG_0792.npy,../data/features_enhanced\02spravne\IMG_0792.npy,../data/labels\02spravne\IMG_0792.txt,419,30.310262529832936,16.129032258064512,21.052631578947366,15.789473684210526,0.0
asformer,IMG_0793.npy,../data/features_enhanced\02spravne\IMG_0793.npy,../data/labels\02spravne\IMG_0793.txt,418,25.11961722488038,19.047619047619047,21.428571428571427,14.285714285714285,7.142857142857142
asformer,IMG_0794.npy,../data/features_enhanced\02spravne\IMG_0794.npy,../data/labels\02spravne\IMG_0794.txt,434,24.193548387096776,18.181818181818176,20.689655172413794,13.793103448275861,13.793103448275861
asformer,IMG_0795.npy,../data/features_enhanced\02spravne\IMG_0795.npy,../data/labels\02spravne\IMG_0795.txt,479,24.21711899791232,31.25,34.78260869565217,17.391304347826086,8.695652173913043
asformer,IMG_0796.npy,../data/features_enhanced\02spravne\IMG_0796.npy,../data/labels\02spravne\IMG_0796.txt,491,26.069246435845212,29.411764705882348,25.0,16.666666666666664,8.333333333333332
asformer,IMG_0797.npy,../data/features_enhanced\02spravne\IMG_0797.npy,../data/labels\02spravne\IMG_0797.txt,541,17.375231053604438,15.625,15.384615384615385,5.128205128205128,5.128205128205128
asformer,IMG_0798.npy,../data/features_enhanced\02spravne\IMG_0798.npy,../data/labels\02spravne\IMG_0798.txt,472,23.516949152542374,26.315789473684216,15.384615384615385,7.6923076923076925,7.6923076923076925
asformer,IMG_0799.npy,../data/features_enhanced\02spravne\IMG_0799.npy,../data/labels\02spravne\IMG_0799.txt,474,24.261603375527425,29.411764705882348,16.666666666666664,8.333333333333332,8.333333333333332
asformer,IMG_0800.npy,../data/features_enhanced\02spravne\IMG_0800.npy,../data/labels\02spravne\IMG_0800.txt,503,20.675944333996025,29.411764705882348,25.0,8.333333333333332,8.333333333333332
asformer,IMG_0801.npy,../data/features_enhanced\02spravne\IMG_0801.npy,../data/labels\02spravne\IMG_0801.txt,486,24.485596707818928,25.0,26.08695652173913,8.695652173913043,8.695652173913043
asformer,IMG_7656.npy,../data/features_enhanced\02spravne\IMG_7656.npy,../data/labels\02spravne\IMG_7656.txt,566,16.784452296819786,17.500000000000004,12.76595744680851,8.51063829787234,4.25531914893617
asformer,IMG_7657.npy,../data/features_enhanced\02spravne\IMG_7657.npy,../data/labels\02spravne\IMG_7657.txt,697,22.66857962697274,12.962962962962965,16.39344262295082,6.557377049180328,0.0
asformer,IMG_7658.npy,../data/features_enhanced\02spravne\IMG_7658.npy,../data/labels\02spravne\IMG_7658.txt,776,14.304123711340205,11.111111111111116,11.428571428571429,5.714285714285714,2.857142857142857
asformer,IMG_7659.npy,../data/features_enhanced\02spravne\IMG_7659.npy,../data/labels\02spravne\IMG_7659.txt,757,31.175693527080583,13.793103448275868,18.181818181818183,9.090909090909092,6.0606060606060606
asformer,IMG_7660.npy,../data/features_enhanced\02spravne\IMG_7660.npy,../data/labels\02spravne\IMG_7660.txt,708,24.717514124293785,10.29411764705882,13.157894736842104,2.631578947368421,2.631578947368421
asformer,IMG_7661.npy,../data/features_enhanced\02spravne\IMG_7661.npy,../data/labels\02spravne\IMG_7661.txt,673,22.288261515601786,13.725490196078427,10.16949152542373,3.389830508474576,0.0
asformer,IMG_7663.npy,../data/features_enhanced\02spravne\IMG_7663.npy,../data/labels\02spravne\IMG_7663.txt,813,9.10209102091021,13.043478260869568,3.7735849056603774,0.0,0.0
